,temperature,rain_1h,snow_1h,clouds_percentage,date_time,binary_holiday,population_density
9680,284.49,0.0,0.0,90,7,0,6736
28554,290.8,0.0,0.0,1,3,0,351
30039,300.82,0.0,0.0,90,14,0,3743
14225,286.532,0.0,0.0,0,8,0,2606
24112,265.09,0.0,0.0,1,9,0,4885
27356,279.26,0.0,0.0,1,4,0,368
43042,254.28,0.0,0.0,1,12,0,4548
38841,295.37,0.0,0.0,1,6,0,5679
27794,285.56,0.0,0.0,75,17,0,5839
11506,275.09,0.0,0.0,40,16,0,6699
40499,292.56,0.0,0.0,0,23,0,1199
26943,275.08,0.0,0.0,90,9,0,4779
9809,268.61,0.0,0.0,1,23,0,1191
40039,269.35,0.0,0.0,90,8,0,2603
18765,284.28,0.0,0.0,1,19,0,3337
12850,274.21,0.0,0.0,90,13,0,5446
30393,283.52,1.52,0.0,90,7,0,6807
5094,289.36,0.0,0.0,75,17,0,6122
34525,294.12,2.92,0.0,75,18,0,4383
20187,287.0,0.0,0.0,1,11,0,4777
9276,300.11,0.0,0.0,0,23,0,1162
31943,298.2,0.25,0.0,32,15,0,6045
15142,250.79,0.0,0.0,20,10,0,4303
30892,261.73,0.0,0.0,90,0,0,1467
9907,293.07,0.0,0.0,90,22,0,3487
2969,280.58,0.0,0.0,90,3,0,411
371,259.65,0.0,0.0,5,18,0,4011
26005,272.55,0.0,0.0,90,11,0,4717
17300,274.08,0.0,0.0,90,22,0,1413
1514,287.62,0.0,0.0,1,6,0,6168
14335,275.0,0.0,0.0,90,18,0,4061
1167,290.78,1.78,0.0,1,3,0,382
11718,269.94,0.0,0.0,90,18,0,4688
13226,287.82,2.16,0.0,56,16,0,6744
26720,268.36,0.0,0.0,90,19,0,3467
30529,272.55,0.0,0.0,90,3,0,325
26891,290.66,0.0,0.0,0,22,0,1926
13489,292.33,0.0,0.0,90,16,0,6852
3588,291.613,0.0,0.0,12,20,0,2800
21560,290.37,0.0,0.0,90,17,0,6127
11512,277.06,0.0,0.0,90,21,0,1950
10583,288.54,0.0,0.0,90,15,0,5648
30968,298.19,0.0,0.0,92,17,0,5346
30390,267.84,0.0,0.0,90,12,0,4755
42514,268.01,0.0,0.0,5,20,0,2374
20739,288.77,0.0,0.0,1,0,0,576
13929,260.07,0.0,0.0,75,18,0,3130
4470,279.16,0.0,0.0,1,1,0,333
18216,277.46,0.0,0.0,40,8,0,2058
32305,279.52,0.0,0.0,0,2,0,730
13616,278.083,0.0,0.0,0,2,0,373
5370,282.16,1.02,0.0,90,6,0,5640
20825,295.57,0.0,0.0,75,18,0,4703
13878,302.89,0.0,0.0,1,19,0,3223
5061,273.84,0.0,0.0,40,21,0,2235
13325,270.65,0.0,0.0,1,0,0,1274
24704,289.48,9.53,0.0,90,4,0,852
534,273.77,0.0,0.0,90,1,0,462
5006,294.54,0.0,0.0,75,18,0,4264
18344,268.28,0.0,0.0,64,21,0,2354
20336,271.94,0.0,0.0,64,11,0,4555
21741,287.15,0.0,0.0,90,10,0,3591
42730,286.76,0.0,0.0,40,10,0,3857
1262,297.62,0.0,0.0,75,15,0,5914
25237,300.13,0.0,0.0,0,18,0,4555
38044,288.47,0.0,0.0,75,21,0,2498
42214,295.89,0.0,0.0,1,21,0,2930
5487,300.28,0.0,0.0,40,14,0,3997
2118,274.77,0.0,0.0,90,5,0,680
27770,276.21,0.0,0.0,1,13,0,4794
17773,303.63,0.0,0.0,56,13,0,5016
13645,259.02,0.0,0.0,64,6,0,733
23566,271.41,0.0,0.0,90,8,0,5890
22048,288.67,0.0,0.0,90,23,0,1186
38311,294.41,0.0,0.0,90,13,0,4734
12119,283.29,0.0,0.0,75,15,0,5303
38717,288.18,0.25,0.0,90,4,0,867
28346,267.22,0.0,0.0,90,4,0,285
20970,298.78,0.0,0.0,8,14,0,5626
42751,249.62,0.0,0.0,1,2,0,236
16563,292.62,0.0,0.0,90,11,0,4698
41585,290.61,0.0,0.0,1,7,0,6338
4794,271.57,0.0,0.0,90,10,0,3866
24328,265.75,0.0,0.0,90,19,0,2335
11502,266.08,0.0,0.0,90,11,0,3935
25220,255.43,0.0,0.0,20,19,0,3071
32415,279.6,0.0,0.0,75,21,0,4046
30198,265.65,0.0,0.0,90,11,0,3371
20111,262.03,0.0,0.0,90,14,0,5191
31101,296.71,0.0,0.0,0,17,0,4133
34056,292.65,0.0,0.0,40,7,0,6031
37257,296.8640000000001,0.0,0.0,64,12,0,4457
668,296.06,0.0,0.0,90,1,0,439
27525,274.86,0.0,0.0,90,1,0,357
31627,290.73,2.16,0.0,90,11,0,4856
13106,285.54,0.0,0.0,90,12,0,5266
22194,273.79,0.0,0.0,75,18,0,3941
1125,291.62,0.0,0.0,40,3,0,354
9836,290.78,0.0,0.0,90,7,0,5836
35709,290.88,0.0,0.0,1,21,0,2533
16469,290.32,0.0,0.0,44,22,0,1896
