,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
45518,None,297.35,0.0,0.0,1,Clear,sky is clear,7/3/2018 0:00,722,very low
10495,None,251.48,0.0,0.0,1,Clear,sky is clear,12/7/2013 23:00,1716,low
1483,None,270.97,0.0,0.0,90,Clouds,overcast clouds,11/26/2012 10:00,4271,medium
17774,None,290.82,0.0,0.0,1,Clear,sky is clear,8/28/2015 0:00,680,very low
23385,None,285.39,0.0,0.0,90,Rain,light rain,5/16/2016 2:00,285,very low
46251,None,286.55,0.0,0.0,90,Mist,mist,7/29/2018 7:00,1286,very low
33692,None,293.56,0.0,0.0,90,Mist,mist,5/16/2017 23:00,1394,very low
2884,None,276.93,0.0,0.0,90,Drizzle,light intensity drizzle,1/12/2013 21:00,2304,low
34692,None,296.36,0.0,0.0,40,Clouds,scattered clouds,6/20/2017 17:00,6221,very high
21212,None,260.35,0.0,0.0,40,Clouds,scattered clouds,2/10/2016 22:00,1518,low
32236,None,273.97,0.0,0.0,1,Clear,sky is clear,3/31/2017 5:00,2551,low
34133,None,285.68,0.0,0.0,90,Rain,light rain,5/30/2017 12:00,4762,high
45307,None,297.21,0.0,0.0,75,Clouds,broken clouds,6/25/2018 12:00,4748,high
6697,None,288.57,0.0,0.0,92,Rain,light rain,6/5/2013 17:00,6547,very high
28862,None,275.22,0.0,0.0,90,Drizzle,light intensity drizzle,12/6/2016 1:00,427,very low
25269,None,296.32,0.0,0.0,90,Clouds,overcast clouds,7/27/2016 2:00,341,very low
39800,None,269.93,0.0,0.0,90,Mist,mist,12/15/2017 21:00,2866,low
25049,None,297.888,0.0,0.0,0,Clear,Sky is Clear,7/18/2016 23:00,1110,very low
26322,None,292.22,1.4,0.0,40,Thunderstorm,proximity thunderstorm,9/5/2016 1:00,537,very low
39971,None,267.15,0.0,0.0,90,Snow,light snow,12/21/2017 12:00,5140,high
43074,None,271.0,0.0,0.0,1,Mist,mist,4/9/2018 10:00,4149,medium
28098,None,276.46,0.0,0.0,90,Mist,mist,11/15/2016 7:00,5697,high
30689,None,263.64,0.0,0.0,1,Clear,sky is clear,2/1/2017 13:00,4914,high
1204,None,273.31,0.0,0.0,75,Clouds,broken clouds,11/15/2012 7:00,6761,very high
3827,None,268.07,0.0,0.0,90,Mist,mist,2/23/2013 10:00,3890,medium
493,None,281.01,0.0,0.0,75,Clouds,broken clouds,10/22/2012 1:00,306,very low
23754,None,289.37,1.2,0.0,75,Mist,mist,5/29/2016 3:00,398,very low
22834,None,277.91,0.0,0.0,75,Clouds,broken clouds,4/27/2016 5:00,2918,medium
8005,None,288.86,0.0,0.0,92,Clouds,overcast clouds,7/28/2013 18:00,4033,medium
28704,None,275.77,0.0,0.0,90,Rain,moderate rain,11/30/2016 19:00,2980,medium
17057,None,298.54,0.0,0.0,1,Clear,sky is clear,8/2/2015 19:00,3096,medium
5590,None,286.75,0.0,0.0,1,Clear,sky is clear,4/29/2013 2:00,267,very low
16898,None,295.06,0.0,0.0,1,Clear,sky is clear,7/27/2015 7:00,5868,very high
46736,None,299.88,0.0,0.0,20,Clouds,few clouds,8/15/2018 20:00,3133,medium
29417,None,273.65,0.0,0.0,90,Mist,mist,12/24/2016 8:00,1791,low
40744,None,269.86,0.0,0.0,5,Clear,sky is clear,1/17/2018 19:00,3080,medium
5600,None,293.76,0.0,0.0,1,Clear,sky is clear,4/29/2013 12:00,4889,high
44144,None,301.44,0.0,0.0,1,Clear,sky is clear,5/16/2018 14:00,5286,high
21078,None,269.72,0.0,0.0,40,Clouds,scattered clouds,2/5/2016 22:00,2920,medium
37331,None,284.0,0.0,0.0,1,Clear,sky is clear,9/21/2017 2:00,297,very low
22361,None,277.01,0.0,0.0,1,Clear,sky is clear,4/9/2016 15:00,4873,high
37752,None,290.15,0.0,0.0,90,Rain,moderate rain,10/5/2017 15:00,5968,very high
31347,None,279.03,0.0,0.0,75,Clouds,broken clouds,2/27/2017 17:00,6028,very high
12774,None,270.15,0.0,0.0,20,Clouds,few clouds,3/8/2014 17:00,4590,high
20611,None,265.65,0.0,0.0,40,Mist,mist,1/14/2016 8:00,5714,high
41463,None,259.76,0.0,0.0,90,Clouds,overcast clouds,2/13/2018 3:00,368,very low
27842,None,277.09,0.0,0.0,1,Mist,mist,11/5/2016 6:00,1200,very low
44119,None,293.81,0.0,0.0,5,Clear,sky is clear,5/15/2018 13:00,5017,high
47173,None,291.01,0.25,0.0,75,Rain,light rain,8/28/2018 17:00,5716,high
24759,None,300.11,0.0,0.0,1,Clear,sky is clear,7/7/2016 15:00,4983,high
35308,None,290.72,0.0,0.0,90,Clouds,overcast clouds,7/13/2017 12:00,4983,high
43002,None,262.49,0.0,0.0,1,Clear,sky is clear,4/7/2018 5:00,643,very low
5671,None,277.33,0.0,0.0,90,Mist,mist,5/2/2013 8:00,5857,very high
40821,None,274.42,0.0,0.0,75,Clouds,broken clouds,1/20/2018 21:00,3742,medium
26891,None,284.43,0.0,0.0,32,Clouds,scattered clouds,9/26/2016 3:00,392,very low
22036,None,278.58,0.0,0.0,90,Drizzle,light intensity drizzle,3/26/2016 2:00,727,very low
27546,None,277.436,0.0,0.0,0,Clear,Sky is Clear,10/24/2016 2:00,315,very low
44622,None,288.82,0.0,0.0,90,Thunderstorm,proximity thunderstorm with rain,6/2/2018 12:00,4671,high
47456,None,292.96,0.0,0.0,1,Clear,sky is clear,9/5/2018 14:00,4816,high
12810,None,276.01,0.0,0.0,1,Clear,sky is clear,3/10/2014 6:00,5147,high
9263,None,287.17,0.0,0.0,92,Clouds,overcast clouds,10/4/2013 18:00,5317,high
42344,None,273.29,0.0,0.0,1,Clear,sky is clear,3/15/2018 0:00,577,very low
34895,None,290.28,0.0,0.0,90,Mist,mist,6/28/2017 5:00,2747,low
34512,None,299.68,0.0,0.0,90,Thunderstorm,proximity thunderstorm,6/14/2017 0:00,704,very low
41694,None,255.55,0.0,0.0,5,Clear,sky is clear,2/21/2018 8:00,5638,high
2522,None,264.0,0.0,0.0,40,Haze,haze,12/30/2012 13:00,4644,high
7532,None,294.87,0.0,0.0,24,Rain,light rain,7/8/2013 23:00,1204,very low
47152,None,289.3,1.1,0.0,75,Rain,moderate rain,8/28/2018 7:00,6147,very high
15517,None,288.3,0.0,0.0,75,Clouds,broken clouds,7/15/2014 8:00,6055,very high
9806,None,271.03,0.0,0.0,64,Clouds,broken clouds,11/12/2013 15:00,5891,very high
19699,None,267.15,0.0,0.0,90,Clouds,overcast clouds,11/27/2015 5:00,1081,very low
41468,None,261.93,0.0,0.0,40,Clouds,scattered clouds,2/13/2018 8:00,5915,very high
37124,None,290.58,0.0,0.0,20,Clouds,few clouds,9/13/2017 6:00,5355,high
1612,None,274.72,0.0,0.0,90,Haze,haze,12/1/2012 15:00,4819,high
41823,None,271.35,0.0,0.0,90,Snow,heavy snow,2/24/2018 20:00,1520,low
36705,None,290.48,0.0,0.0,90,Clouds,overcast clouds,8/28/2017 10:00,4682,high
23830,None,293.92,0.0,0.0,90,Rain,light rain,5/31/2016 14:00,5383,high
6461,None,285.9,0.0,0.0,90,Mist,mist,5/28/2013 8:00,6195,very high
8776,None,301.48,0.0,0.0,20,Clouds,few clouds,9/4/2013 17:00,6227,very high
2758,None,270.68,0.0,0.0,75,Clouds,broken clouds,1/8/2013 4:00,758,very low
1494,None,269.59,0.0,0.0,90,Clouds,overcast clouds,11/26/2012 22:00,1342,very low
32531,None,278.95,0.0,0.0,90,Rain,light rain,4/10/2017 15:00,5551,high
3333,None,258.4,0.0,0.0,97,Clouds,overcast clouds,2/3/2013 21:00,1566,low
39194,None,279.08,0.0,0.0,5,Clear,sky is clear,11/23/2017 14:00,2935,medium
12204,None,265.74,0.0,0.0,90,Clouds,overcast clouds,2/12/2014 21:00,2286,low
35794,None,288.86,0.0,0.0,1,Mist,mist,7/30/2017 5:00,542,very low
1659,None,273.38,0.0,0.0,1,Mist,mist,12/3/2012 1:00,273,very low
29428,None,274.62,0.0,0.0,90,Mist,mist,12/24/2016 14:00,3681,medium
3707,None,266.65,0.0,0.0,40,Clouds,scattered clouds,2/18/2013 10:00,3974,medium
20517,None,270.15,0.0,0.0,90,Haze,haze,1/8/2016 21:00,2506,low
9643,None,271.75,0.0,0.0,20,Clouds,few clouds,10/25/2013 8:00,5811,high
12901,None,279.02,0.0,0.0,20,Clouds,few clouds,3/14/2014 1:00,412,very low
189,None,281.59,0.0,0.0,90,Clouds,overcast clouds,10/10/2012 15:00,5610,high
8933,None,287.8,0.0,0.0,90,Rain,heavy intensity rain,9/14/2013 18:00,4056,medium
20736,None,267.22,0.0,0.0,90,Haze,haze,1/21/2016 1:00,335,very low
9898,None,280.46,1.27,0.0,90,Thunderstorm,thunderstorm with drizzle,11/16/2013 13:00,4592,high
34947,None,295.77,0.0,0.0,90,Clouds,overcast clouds,6/29/2017 16:00,6490,very high
18672,None,289.71,0.0,0.0,1,Clear,sky is clear,9/29/2015 16:00,6682,very high
3051,None,276.08,0.0,0.0,75,Clouds,broken clouds,1/19/2013 16:00,4837,high
32754,None,281.29,0.0,0.0,1,Clear,sky is clear,4/16/2017 6:00,809,very low
23350,None,282.08,0.0,0.0,40,Clouds,scattered clouds,5/14/2016 15:00,4223,medium
17581,None,292.51,0.0,0.0,1,Clear,sky is clear,8/20/2015 12:00,5347,high
24771,None,292.35,0.0,0.0,20,Clouds,few clouds,7/8/2016 2:00,305,very low
